patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Glenn,2015,Female,1836,,
Glenn,2015,Male,1442,,
Glenn,2015,"Other, Unknown, Invalid",1,,
Glenn,2016,Female,1909,,
Glenn,2016,Male,1464,,
Glenn,2017,Female,1843,,
Glenn,2017,Male,1493,,
Glenn,2018,Female,2023,,
Glenn,2018,Male,1662,,
Glenn,2019,Female,2280,,
Glenn,2019,Male,1700,,
Glenn,2020,Female,1950,,
Glenn,2020,Male,1572,,
Glenn,2021,Female,1938,,
Glenn,2021,Male,1687,,
Glenn,2022,Female,1893,,
Glenn,2022,Male,1571,,
Glenn,2023,Female,1880,,
Glenn,2023,Male,1478,,
Humboldt,2012,Female,7381,,
Humboldt,2012,Male,5505,,
Humboldt,2012,"Other, Unknown, Invalid",2,,
Humboldt,2013,Female,7156,,
Humboldt,2013,Male,5585,,
Humboldt,2013,"Other, Unknown, Invalid",2,,
Humboldt,2014,Female,7332,,
Humboldt,2014,Male,5888,,
Humboldt,2014,"Other, Unknown, Invalid",1,,
Humboldt,2015,Female,7215,,
Humboldt,2015,Male,5860,,
Humboldt,2015,"Other, Unknown, Invalid",2,,
Humboldt,2016,Female,7485,,
Humboldt,2016,Male,6353,,
Humboldt,2016,"Other, Unknown, Invalid",3,,
Humboldt,2017,Female,7261,,
Humboldt,2017,Male,6074,,
Humboldt,2017,"Unknown, Invalid",1,,
Humboldt,2018,Female,7355,,
Humboldt,2018,Male,5984,,
Humboldt,2018,"Unknown, Invalid",3,,
Humboldt,2019,Female,7420,,
Humboldt,2019,Male,6051,,
Humboldt,2020,Female,6178,,
Humboldt,2020,Male,5338,,
Humboldt,2020,"Unknown, Invalid",2,,
Humboldt,2021,Female,6333,,
Humboldt,2021,Male,5316,,
Humboldt,2021,"Unknown, Invalid",1,,
Humboldt,2022,Female,6361,,
Humboldt,2022,Male,5432,,
Humboldt,2022,"Unknown, Invalid",1,,
Humboldt,2023,Female,6346,,
Humboldt,2023,Male,5365,,
Humboldt,2023,"Unknown, Invalid",2,,
Imperial,2012,Female,11006,,
Imperial,2012,Male,8467,,
Imperial,2013,Female,10344,,
Imperial,2013,Male,7907,,
Imperial,2013,"Other, Unknown, Invalid",3,,
Imperial,2014,Female,9805,,
Imperial,2014,Male,7317,,
Imperial,2015,Female,10142,,
Imperial,2015,Male,7537,,
Imperial,2016,Female,9998,,
Imperial,2016,Male,7616,,
Imperial,2017,Female,10006,,
Imperial,2017,Male,7830,,
Imperial,2018,Female,9666,,
Imperial,2018,Male,7919,,
Imperial,2019,Female,9430,,
Imperial,2019,Male,7668,,
Imperial,2019,"Unknown, Invalid",1,,
